1.	1, 3, 4, 7, 10, 15, 20
2.	1, 3, 4, 7, 10, 15
3.	1, 3, 4, 7, 10, 20
4.	1, 3, 4, 7, 10
5.	1, 3, 4, 7, 15, 20
6.	1, 3, 4, 7, 15
7.	1, 3, 4, 7, 20
8.	1, 3, 4, 7
9.	1, 3, 4, 10, 15, 20
10.	1, 3, 4, 10, 15
11.	1, 3, 4, 10, 20
12.	1, 3, 4, 10
13.	1, 3, 4, 15, 20
14.	1, 3, 4, 15
15.	1, 3, 4, 20
16.	1, 3, 4
17.	1, 3, 7, 10, 15, 20
18.	1, 3, 7, 10, 15
19.	1, 3, 7, 10, 20
20.	1, 3, 7, 10
21.	1, 3, 7, 15, 20
22.	1, 3, 7, 15
23.	1, 3, 7, 20
24.	1, 3, 7
25.	1, 3, 10, 15, 20
26.	1, 3, 10, 15
27.	1, 3, 10, 20
28.	1, 3, 10
29.	1, 3, 15, 20
30.	1, 3, 15
31.	1, 3, 20
32.	1, 3
33.	1, 4, 7, 10, 15, 20
34.	1, 4, 7, 10, 15
35.	1, 4, 7, 10, 20
36.	1, 4, 7, 10
37.	1, 4, 7, 15, 20
38.	1, 4, 7, 15
39.	1, 4, 7, 20
40.	1, 4, 7
41.	1, 4, 10, 15, 20
42.	1, 4, 10, 15
43.	1, 4, 10, 20
44.	1, 4, 10
45.	1, 4, 15, 20
46.	1, 4, 15
47.	1, 4, 20
48.	1, 4
49.	1, 7, 10, 15, 20
50.	1, 7, 10, 15
51.	1, 7, 10, 20
52.	1, 7, 10
53.	1, 7, 15, 20
54.	1, 7, 15
55.	1, 7, 20
56.	1, 7
57.	1, 10, 15, 20
58.	1, 10, 15
59.	1, 10, 20
60.	1, 10
61.	1, 15, 20
62.	1, 15
63.	1, 20
64.	1
65.	3, 4, 7, 10, 15, 20
66.	3, 4, 7, 10, 15
67.	3, 4, 7, 10, 20
68.	3, 4, 7, 10
69.	3, 4, 7, 15, 20
70.	3, 4, 7, 15
71.	3, 4, 7, 20
72.	3, 4, 7
73.	3, 4, 10, 15, 20
74.	3, 4, 10, 15
75.	3, 4, 10, 20
76.	3, 4, 10
77.	3, 4, 15, 20
78.	3, 4, 15
79.	3, 4, 20
80.	3, 4
81.	3, 7, 10, 15, 20
82.	3, 7, 10, 15
83.	3, 7, 10, 20
84.	3, 7, 10
85.	3, 7, 15, 20
86.	3, 7, 15
87.	3, 7, 20
88.	3, 7
89.	3, 10, 15, 20
90.	3, 10, 15
91.	3, 10, 20
92.	3, 10
93.	3, 15, 20
94.	3, 15
95.	3, 20
96.	3
97.	4, 7, 10, 15, 20
98.	4, 7, 10, 15
99.	4, 7, 10, 20
100.	4, 7, 10
101.	4, 7, 15, 20
102.	4, 7, 15
103.	4, 7, 20
104.	4, 7
105.	4, 10, 15, 20
106.	4, 10, 15
107.	4, 10, 20
108.	4, 10
109.	4, 15, 20
110.	4, 15
111.	4, 20
112.	4
113.	7, 10, 15, 20
114.	7, 10, 15
115.	7, 10, 20
116.	7, 10
117.	7, 15, 20
118.	7, 15
119.	7, 20
120.	7
121.	10, 15, 20
122.	10, 15
123.	10, 20
124.	10
125.	15, 20
126.	15
127.	20
128.	
